Time,Mag_X,Mag_Y,Mag_Z,Raw_Roll,Raw_Pitch,Raw_Yaw
7613,35.69,-127.94,-34.13,1.55,-1.99,173.87
7613,35.69,-127.94,-34.13,1.55,-1.99,173.87
7613,36.56,-124.37,-36.5,1.55,-1.99,172.96
7613,36.56,-124.37,-36.5,1.55,-1.99,172.96
7613,36.56,-124.37,-36.5,1.55,-1.99,172.96
7613,36.56,-124.37,-36.5,1.55,-1.99,172.96
7613,36.56,-124.37,-36.5,1.1,-2,172.96
7613,38.38,-122.94,-35.75,1.1,-2,172.05
7613,38.38,-122.94,-35.75,1.1,-2,172.05
7613,38.38,-122.94,-35.75,1.1,-2,172.05
7613,38.38,-122.94,-35.75,1.1,-2,172.05
7613,38.38,-122.94,-35.75,1.1,-1.99,172.05
7613,38.19,-127.06,-38.63,1.1,-1.99,172.63
7613,38.19,-127.06,-38.63,1.1,-1.99,172.63
7613,38.19,-127.06,-38.63,1.1,-1.99,172.63
7613,38.19,-127.06,-38.63,1.1,-1.99,172.63
7613,38.19,-127.06,-38.63,1.1,-1.99,172.63
7613,38.88,-127.44,-42.5,1.1,-1.99,172.34
7613,38.88,-127.44,-42.5,1.1,-1.99,172.34
7613,38.88,-127.44,-42.5,1.1,-1.99,172.34
7613,38.88,-127.44,-42.5,1.1,-1.99,172.34
7613,34.44,-126.75,-42.25,1.1,-1.99,174.1
7613,34.44,-126.75,-42.25,1.1,-2,174.1
7613,34.44,-126.75,-42.25,1.1,-2,174.1
7613,34.44,-126.75,-42.25,1.1,-2,174.1
7613,34.44,-126.75,-42.25,1.1,-2,174.1
7613,33.75,-117.56,-40.19,1.1,-2,173.26
7613,33.75,-117.56,-40.19,1.33,-1.99,173.26
7613,33.75,-117.56,-40.19,1.33,-1.99,173.26
7613,33.75,-117.56,-40.19,1.33,-1.99,173.26
7613,33.75,-117.56,-40.19,1.33,-1.99,173.26
7613,31.37,-109.69,-37.88,1.33,-1.99,173.29
7613,31.37,-109.69,-37.88,1.33,-1.99,173.29
7613,31.37,-109.69,-37.88,1.33,-1.76,173.29
7613,31.37,-109.69,-37.88,1.33,-1.76,173.29
7613,31.37,-109.69,-37.88,1.33,-1.76,173.29
7614,27.94,-100.5,-33.94,1.33,-1.76,173.8
7614,27.94,-100.5,-33.94,1.33,-1.76,173.8
7614,27.94,-100.5,-33.94,1.1,-1.99,173.8
7614,27.94,-100.5,-33.94,1.1,-1.99,173.8
7614,27.94,-100.5,-33.94,1.1,-1.99,173.8
7614,17.69,-98.94,-33.19,1.1,-1.99,179.16
7614,17.69,-98.94,-33.19,1.1,-1.99,179.16
7614,17.69,-98.94,-33.19,1.1,-1.99,179.16
7614,17.69,-98.94,-33.19,1.1,-1.99,179.16
7614,17.69,-98.94,-33.19,1.1,-1.99,179.16
7614,-3.5,-82.75,-9.69,1.1,-1.99,-167.81
7614,-3.5,-82.75,-9.69,1.1,-1.99,-167.81
7614,-3.5,-82.75,-9.69,1.1,-1.99,-167.81
7614,-3.5,-82.75,-9.69,1.1,-1.99,-167.81
7614,-3.5,-82.75,-9.69,1.1,-1.99,-167.81
7614,-12.5,-49.38,34.06,1.1,-1.99,-154.71
7614,-12.5,-49.38,34.06,1.1,-1.99,-154.71
7614,-12.5,-49.38,34.06,1.33,-1.99,-154.71
7614,-12.5,-49.38,34.06,1.33,-1.99,-154.71
7614,-12.5,-49.38,34.06,1.33,-1.99,-154.71
7614,-9.38,-37.19,45.81,1.33,-1.99,-154.01
7614,-9.38,-37.19,45.81,1.33,-1.99,-154.01
7614,-9.38,-37.19,45.81,1.33,-1.99,-154.01
7614,-9.38,-37.19,45.81,1.33,-1.99,-154.01
7614,-9.38,-37.19,45.81,1.33,-1.99,-154.01
7614,-9.31,-36.75,46.25,1.33,-1.99,-153.9
7614,-9.31,-36.75,46.25,1.33,-1.99,-153.9
7614,-9.31,-36.75,46.25,1.33,-1.99,-153.9
7614,-9.31,-36.75,46.25,1.33,-1.99,-153.9
7614,-9.31,-36.75,46.25,1.33,-1.99,-153.9
7614,-9.44,-37.25,45.44,1.33,-1.99,-153.96
7614,-9.44,-37.25,45.44,1.33,-1.99,-153.96
7614,-9.44,-37.25,45.44,1.1,-1.99,-153.96
7614,-9.44,-37.25,45.44,1.1,-1.99,-153.96
7614,-9.44,-37.25,45.44,1.1,-1.99,-153.96
7614,-8.75,-36.44,45.13,1.1,-1.99,-154.54
7614,-8.75,-36.44,45.13,1.1,-1.99,-154.54
7614,-8.75,-36.44,45.13,1.33,-1.99,-154.54
7614,-8.75,-36.44,45.13,1.33,-1.99,-154.54
7614,-8.75,-36.44,45.13,1.33,-1.99,-154.54
7614,-9.25,-36.31,46.69,1.33,-1.99,-153.79
7614,-9.25,-36.31,46.69,1.33,-1.99,-153.79
7614,-9.25,-36.31,46.69,1.33,-2.22,-153.79
7614,-8.69,-36.31,46.31,1.33,-2.22,-154.34
7614,-8.69,-36.31,46.31,1.33,-2.22,-154.34
7614,-8.69,-36.31,46.31,1.33,-2.22,-154.34
7614,-8.69,-36.31,46.31,1.33,-2.22,-154.34
7615,-9.25,-36.25,47.44,1.33,-2.22,-153.46
7615,-9.25,-36.25,47.44,1.1,-2.22,-153.46
7615,-9.25,-36.25,47.44,1.1,-2.22,-153.46
7615,-9.25,-36.25,47.44,1.1,-2.22,-153.46
7615,-9.25,-36.25,47.44,1.1,-2.22,-153.46
7615,-8.31,-35.94,46.38,1.1,-2.22,-154.66
7615,-8.31,-35.94,46.38,1.1,-2.22,-154.66
7615,-8.31,-35.94,46.38,1.33,-1.99,-154.66
7615,-8.31,-35.94,46.38,1.33,-1.99,-154.66
7615,-8.31,-35.94,46.38,1.33,-1.99,-154.66
7615,-8.31,-36.56,47.06,1.33,-1.99,-155.2
7615,-8.31,-36.56,47.06,1.33,-1.99,-155.2
7615,-8.31,-36.56,47.06,1.33,-1.99,-155.2
